Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020/1/12,306,1:47:00 AM,Sunday,COLLEGE AND BATHURST,Held By,6,13,E/B,4597
2020/1/12,306,1:47:00 AM,Sunday,COLLEGE AND BATHURST,Held By,10,20,W/B,4509
2020/1/12,501,5:36:00 AM,Sunday,Lakeshore between Humber Loop and Longbranch Branch,General Delay,12,24,W/B,4415
2020/1/12,501,5:54:00 AM,Sunday,Lakeshore and Superior,General Delay,13,26,E/B,4546
2020/1/12,512,5:59:00 AM,Sunday,Bathurst King St West,Utilized Off Route,5,16,N/B,3
2020/1/12,506,6:01:00 AM,Sunday,Coxwell Gerrard,Overhead - Pantograph,1,1,W/B,4514
2020/1/12,510,6:43:00 AM,Sunday,Queens Quay Loop,General Delay,10,20,S/B,4411
2020/1/12,509,7:31:00 AM,Sunday,Spadina Queens Quay,General Delay,25,35,W/B,4573
2020/1/12,504,7:43:00 AM,Sunday,Queen and Braoadview,Late Leaving Garage,10,20,W/B,4593
2020/1/12,511,7:43:00 AM,Sunday,King Street and Bathurst Street,Late Leaving Garage,12,22,N/B,4578
2020/1/12,506,7:45:00 AM,Sunday,Coxwell and Gerrard Street,Late Leaving Garage,8,16,E/B,4598
2020/1/12,511,7:57:00 AM,Sunday,Bathurst and King,Late Leaving Garage,10,19,N/B,4469
2020/1/12,511,8:00:00 AM,Sunday,King And Bathurst,Late Leaving Garage,9,17,S/B,4426
2020/1/12,512,8:02:00 AM,Sunday,Bathurst and St. Clair,Mechanical,6,12,E/B,4534
2020/1/12,506,8:23:00 AM,Sunday,Coxwell and Gerrard Street,Late Leaving Garage,10,13,E/B,4494
2020/1/12,501,9:48:00 AM,Sunday,Yonge and Queen,Investigation,10,20,W/B,4482
2020/1/12,501,10:30:00 AM,Sunday,Yonge/Queen.,Mechanical,0,0,E/B,4511
2020/1/12,512,12:24:00 PM,Sunday,Bathurst St Clair West,General Delay,5,10,W/B,4554
2020/1/12,511,12:31:00 PM,Sunday,Bathurst and Fleet,Mechanical,18,24,W/B,4452
2020/1/12,505,1:27:00 PM,Sunday,Dundas and Jarvis,Mechanical,4,8,E/B,3731
2020/1/12,501,2:17:00 PM,Sunday,LAKESORE AND PARKLAWN,Investigation,47,57,W/B,4538
2020/1/12,504,6:35:00 PM,Sunday,Broadview Station,General Delay,10,20,W/B,4599
2020/1/12,501,9:00:00 PM,Sunday,QUEEN AND JARVIS,Emergency Services,10,20,E/B,4596
2020/1/12,506,10:20:00 PM,Sunday,Gerrard and Highfield,Held By,20,30,W/B,4536
2020/1/13,501,5:34:00 AM,Monday,Russlell Yard,Mechanical,5,13,E/B,4417
2020/1/13,505,9:37:00 AM,Monday,Dundas West Station,General Delay,4,8,B/W,1265
2020/1/13,504,9:54:00 AM,Monday,Broadview Station,Mechanical,4,8,S/B,4496
2020/1/13,505,10:12:00 AM,Monday,Dundas / St. Patrick,General Delay,4,8,E/B,1265
2020/1/13,504,10:31:00 AM,Monday,Queen and Broadview Av.,Held By,1,1,N/B,4560
2020/1/13,510,11:31:00 AM,Monday,Queens Quay and Spadina,Investigation,5,10,E/B,4534
2020/1/13,505,1:39:00 PM,Monday,Broadview station,General Delay,20,26,B/W,1265
2020/1/13,503,3:19:00 PM,Monday,Yonge and King,Mechanical,10,20,W/B,8961
2020/1/13,505,3:40:00 PM,Monday,Broadview STN,Mechanical,6,12,W/B,8566
2020/1/13,505,3:51:00 PM,Monday,Broadview STN,Mechanical,6,12,E/B,1575
2020/1/13,508,4:26:00 PM,Monday,Queen/Roncesvalles,Late Leaving Garage,20,40,E/B,8350
2020/1/13,505,4:51:00 PM,Monday,Broadview STN,Mechanical,6,12,E/B,1356
2020/1/13,511,5:08:00 PM,Monday,CNE Loop,Mechanical,8,16,N/B,4552
2020/1/13,509,10:36:00 PM,Monday,Exhibition Loop,Mechanical,1,2,E/B,4497
2020/1/13,506,10:58:00 PM,Monday,Howard Park and Dundas,Mechanical,7,14,E/B,4559
2020/1/14,506,1:17:00 AM,Tuesday,Broadview and Dundas,Investigation,10,20,E/B,4411
